Issue,customfield_10731,customfield_10120,customfield_10121,customfield_10630,customfield_10122,customfield_10830,customfield_10123,customfield_10100,customfield_10126
IMPORT-944,1127820528881,vda,ARBO,ARBO02,35793,ARBO_batch1,ARBSP_ARBO_00009,00009,
IMPORT-942,1127820528869,vda,ARBO,ARBO02,35791,ARBO_batch1,ARBSP_ARBO_00007,00007,
IMPORT-896,1127626100748,rtv,CK,CK02,35581,CK_batch3,RTVSP_CK_00098,00098,G1P[8]
IMPORT-881,1127626100743,rtv,CK,CK02,35576,CK_batch1,RTVSP_CK_00093,00093,G1P[8]
IMPORT-880,1127626100740,rtv,CK,CK02,35573,CK_batch3,RTVSP_CK_00090,00090,G1P[8]
IMPORT-875,1127626100731,rtv,CK,CK02,35564,CK_batch1,RTVSP_CK_00081,00081,G1P[8]
IMPORT-871,1127626100730,rtv,CK,CK02,35563,CK_batch3,RTVSP_CK_00080,00080,G1P[8]
IMPORT-870,1127626100729,rtv,CK,CK02,35562,CK_batch3,RTVSP_CK_00079,00079,G1P[8]
IMPORT-860,1127626100723,rtv,CK,CK02,35556,CK_batch3,RTVSP_CK_00073,00073,G1P[8]
IMPORT-853,1127626100721,rtv,CK,CK02,35554,CK_batch3,RTVSP_CK_00071,00071,G1P[8]
IMPORT-852,1127626100720,rtv,CK,CK02,35553,CK_batch3,RTVSP_CK_00070,00070,G1P[8]
IMPORT-834,1127626100719,rtv,CK,CK02,35552,CK_batch3,RTVSP_CK_00069,00069,G1P[8]
IMPORT-833,1127626100718,rtv,CK,CK02,35551,CK_batch3,RTVSP_CK_00068,00068,G1P[8]
IMPORT-828,1127626100716,rtv,CK,CK02,35549,CK_batch3,RTVSP_CK_00066,00066,G1P[8]
IMPORT-827,1127626100715,rtv,CK,CK02,35548,CK_batch3,RTVSP_CK_00065,00065,G1P[8]
IMPORT-824,1127626100714,rtv,CK,CK02,35547,CK_batch3,RTVSP_CK_00064,00064,G1P[8]
IMPORT-808,1127626100711,rtv,CK,CK02,35544,CK_batch3,RTVSP_CK_00061,00061,G1P[8]
IMPORT-805,1127626100709,rtv,CK,CK02,35542,CK_batch3,RTVSP_CK_00059,00059,G1P[8]
IMPORT-797,1127626100708,rtv,CK,CK02,35541,CK_batch3,RTVSP_CK_00058,00058,G1P[8]
IMPORT-786,1127626100707,rtv,CK,CK02,35540,CK_batch3,RTVSP_CK_00057,00057,G1P[8]
IMPORT-768,1127626100705,rtv,CK,CK02,35538,CK_batch3,RTVSP_CK_00055,00055,G1P[8]
IMPORT-743,1126572233219,rtv,JM,JM02,34786,JM_batch2,RTVSP_JM_00092,00092,G1P[8]
IMPORT-742,1126572233125,rtv,JM,JM02,34755,JM_batch2,RTVSP_JM_00061,00061,G1P[8]
IMPORT-650,1122235198749,rtv,JM,JM01,31092,JM_batch2,RTVSP_JM_00001,00001,G1P8
IMPORT-649,1131380099975,rsv,RSV,04,38569,RSV_batch1,RSVSP_RSV_00137,00137,
IMPORT-648,1131380099974,rsv,RSV,04,38568,RSV_batch1,RSVSP_RSV_00136,00136,
IMPORT-647,1129764161198,rsv,RSV,03,36244,RSV_batch1,RSVSP_RSV_00134,00134,
IMPORT-646,1129764161197,rsv,RSV,03,36243,RSV_batch1,RSVSP_RSV_00133,00133,
IMPORT-645,1129764161196,rsv,RSV,03,36242,RSV_batch1,RSVSP_RSV_00132,00132,
IMPORT-644,1129764161193,rsv,RSV,03,36241,RSV_batch1,RSVSP_RSV_00131,00131,
IMPORT-643,1129764161178,rsv,RSV,03,36240,RSV_batch1,RSVSP_RSV_00130,00130,
IMPORT-642,1129764161177,rsv,RSV,03,36239,RSV_batch1,RSVSP_RSV_00129,00129,
IMPORT-641,1129764161176,rsv,RSV,03,36238,RSV_batch1,RSVSP_RSV_00128,00128,
IMPORT-640,1129764161159,rsv,RSV,03,36237,RSV_batch1,RSVSP_RSV_00127,00127,
IMPORT-639,1129764161158,rsv,RSV,03,36236,RSV_batch1,RSVSP_RSV_00126,00126,
IMPORT-638,1129764161141,rsv,RSV,03,36235,RSV_batch1,RSVSP_RSV_00125,00125,
IMPORT-637,1129764161140,rsv,RSV,03,36234,RSV_batch1,RSVSP_RSV_00124,00124,
IMPORT-636,1129764161107,rsv,RSV,03,36233,RSV_batch1,RSVSP_RSV_00123,00123,
IMPORT-635,1129764161106,rsv,RSV,03,36232,RSV_batch1,RSVSP_RSV_00122,00122,
IMPORT-634,1129764161105,rsv,RSV,03,36231,RSV_batch1,RSVSP_RSV_00121,00121,
IMPORT-633,1129764161104,rsv,RSV,03,36230,RSV_batch1,RSVSP_RSV_00120,00120,
IMPORT-632,1129764161103,rsv,RSV,03,36229,RSV_batch1,RSVSP_RSV_00119,00119,
IMPORT-631,1129764161070,rsv,RSV,03,36228,RSV_batch1,RSVSP_RSV_00118,00118,
IMPORT-630,1129764161069,rsv,RSV,03,36227,RSV_batch1,RSVSP_RSV_00117,00117,
IMPORT-629,1129764161068,rsv,RSV,03,36226,RSV_batch1,RSVSP_RSV_00116,00116,
IMPORT-628,1129764161035,rsv,RSV,03,36225,RSV_batch1,RSVSP_RSV_00115,00115,
IMPORT-627,1129764161018,rsv,RSV,03,36224,RSV_batch1,RSVSP_RSV_00114,00114,
IMPORT-626,1129764161017,rsv,RSV,03,36223,RSV_batch1,RSVSP_RSV_00113,00113,
IMPORT-625,1129764160984,rsv,RSV,03,36222,RSV_batch1,RSVSP_RSV_00112,00112,
IMPORT-624,1129764160983,rsv,RSV,03,36221,RSV_batch1,RSVSP_RSV_00111,00111,
IMPORT-623,1129764160966,rsv,RSV,03,36220,RSV_batch1,RSVSP_RSV_00110,00110,
IMPORT-622,1129764160965,rsv,RSV,03,36219,RSV_batch1,RSVSP_RSV_00109,00109,
IMPORT-621,1129764160964,rsv,RSV,03,36218,RSV_batch1,RSVSP_RSV_00108,00108,
IMPORT-620,1129764160963,rsv,RSV,03,36217,RSV_batch1,RSVSP_RSV_00107,00107,
IMPORT-619,1129764160962,rsv,RSV,03,36216,RSV_batch1,RSVSP_RSV_00106,00106,
IMPORT-618,1129764160961,rsv,RSV,03,36215,RSV_batch1,RSVSP_RSV_00105,00105,
IMPORT-617,1129764160867,rsv,RSV,03,36201,RSV_batch1,RSVSP_RSV_00091,00091,
IMPORT-616,1127177794734,rsv,RSV,02,35213,RSV_batch1,RSVSP_RSV_00087,00087,
IMPORT-615,1127177794733,rsv,RSV,02,35212,RSV_batch1,RSVSP_RSV_00086,00086,
IMPORT-614,1127177794732,rsv,RSV,02,35211,RSV_batch1,RSVSP_RSV_00085,00085,
IMPORT-613,1127177794731,rsv,RSV,02,35210,RSV_batch1,RSVSP_RSV_00084,00084,
IMPORT-612,1127177794730,rsv,RSV,02,35209,RSV_batch1,RSVSP_RSV_00083,00083,
